Date,Total_Reserves_Excluding_Gold
2004-03,NA
2004-04,NA
2004-05,NA
2004-06,NA
2004-07,NA
2004-08,NA
2004-09,NA
2004-10,NA
2004-11,NA
2004-12,36957.0
2005-01,NA
2005-02,NA
2005-03,NA
2005-04,NA
2005-05,NA
2005-06,NA
2005-07,NA
2005-08,NA
2005-09,NA
2005-10,NA
2005-11,NA
2005-12,44966.0
2006-01,NA
2006-02,NA
2006-03,NA
2006-04,NA
2006-05,NA
2006-06,NA
2006-07,NA
2006-08,NA
2006-09,NA
2006-10,NA
2006-11,NA
2006-12,60370.0
2007-01,NA
2007-02,NA
2007-03,NA
2007-04,NA
2007-05,NA
2007-06,NA
2007-07,NA
2007-08,NA
2007-09,NA
2007-10,NA
2007-11,NA
2007-12,82966.0
2008-01,NA
2008-02,NA
2008-03,NA
2008-04,NA
2008-05,NA
2008-06,NA
2008-07,NA
2008-08,NA
2008-09,NA
2008-10,NA
2008-11,NA
2008-12,78896.0
2009-01,NA
2009-02,NA
2009-03,NA
2009-04,NA
2009-05,NA
2009-06,NA
2009-07,NA
2009-08,NA
2009-09,NA
2009-10,NA
2009-11,NA
2009-12,73145.0
2010-01,NA
2010-02,NA
2010-03,NA
2010-04,NA
2010-05,NA
2010-06,NA
2010-07,NA
2010-08,NA
2010-09,NA
2010-10,NA
2010-11,NA
2010-12,79854.0
2011-01,NA
2011-02,NA
2011-03,NA
2011-04,NA
2011-05,NA
2011-06,NA
2011-07,NA
2011-08,NA
2011-09,NA
2011-10,NA
2011-11,NA
2011-12,87069.0
2012-01,NA
2012-02,NA
2012-03,NA
2012-04,NA
2012-05,NA
2012-06,NA
2012-07,NA
2012-08,NA
2012-09,NA
2012-10,NA
2012-11,NA
2012-12,68017.0
2013-01,NA
2013-02,NA
2013-03,NA
2013-04,NA
2013-05,NA
2013-06,NA
2013-07,NA
2013-08,NA
2013-09,NA
2013-10,NA
2013-11,NA
2013-12,68394.0
2014-01,NA
2014-02,NA
2014-03,NA
2014-04,NA
2014-05,NA
2014-06,NA
2014-07,NA
2014-08,NA
2014-09,NA
2014-10,NA
2014-11,NA
2014-12,63000.0
2015-01,NA
2015-02,NA
2015-03,NA
2015-04,NA
2015-05,NA
2015-06,NA
2015-07,NA
2015-08,NA
2015-09,NA
2015-10,NA
2015-11,NA
2015-12,93144.0
2016-01,NA
2016-02,NA
2016-03,NA
2016-04,NA
2016-05,NA
2016-06,NA
2016-07,NA
2016-08,NA
2016-09,NA
2016-10,NA
2016-11,NA
2016-12,102968.0
2017-01,NA
2017-02,NA
2017-03,NA
2017-04,NA
2017-05,NA
2017-06,NA
2017-07,NA
2017-08,NA
2017-09,NA
2017-10,NA
2017-11,NA
2017-12,100980.0
2018-01,NA
2018-02,NA
2018-03,NA
2018-04,NA
2018-05,NA
2018-06,NA
2018-07,NA
2018-08,NA
2018-09,NA
2018-10,NA
2018-11,NA
2018-12,94900.0
2019-01,NA
2019-02,NA
2019-03,NA
2019-04,NA
2019-05,NA
2019-06,NA
2019-07,NA
2019-08,NA
2019-09,NA
2019-10,NA
2019-11,NA
2019-12,NA
2020-01,NA
2020-02,NA
2020-03,NA
2020-04,NA
2020-05,NA
2020-06,NA
2020-07,NA
2020-08,NA
2020-09,NA
2020-10,NA
2020-11,NA
2020-12,NA
2021-01,NA
2021-02,NA
2021-03,NA
2021-04,NA
2021-05,NA
2021-06,NA
2021-07,NA
2021-08,NA
2021-09,NA
2021-10,NA
2021-11,NA
2021-12,NA
2022-01,NA
2022-02,NA
2022-03,NA
2022-04,NA
2022-05,NA
2022-06,NA
2022-07,NA
2022-08,NA
2022-09,NA
2022-10,NA
2022-11,NA
2022-12,NA
2023-01,NA
2023-02,NA
2023-03,NA
2023-04,NA
2023-05,NA
2023-06,NA
2023-07,NA
2023-08,NA
2023-09,NA
2023-10,NA
2023-11,NA
2023-12,NA
2024-01,NA
2024-02,NA
2024-03,NA
2024-04,NA
2024-05,NA
2024-06,NA
2024-07,NA
2024-08,NA
2024-09,NA
2024-10,NA
2024-11,NA
2024-12,NA
2025-01,NA
2025-02,NA
2025-03,NA
2025-04,NA
2025-05,NA
2025-06,NA
2025-07,NA
2025-08,NA
2025-09,NA
2025-10,NA
2025-11,NA
2025-12,NA
